A-Equipo,PC-CostoTotal,PC-TotalDeterminaciones,PC-UtilidadPropuesta,PC-ValorFinal,PC-ValorDeterminacion
382,21961450.91,59900,1.4999999993169848,32942176.349999994,549.9528606010016
247,2167818,3000,1.368657331934692,2967000,989
423,14361293.54,9100,1.3500000014622637,19387746.299999997,2130.521571428571
111,857048.55,4000,1.5868412588761744,1360000,340
238,31274706.43,24400,1.662999999581451,52009836.78,2131.550687704918
234,45235952.54,49550,1.6600000003006459,75091681.23,1515.4728805247225
218,18683674.99,72350,1.3359657569166483,24960750,345
331,6405273.47,500,1.66,10632753.960199999,21265.507920399996
333,2998257.12,4000,1.3007556870239334,3900000,975
331,37608810.52,5500,1.66,62430625.4632,11351.02281149091
423,18227982.73,17750,1.66,30258451.3318,1704.70148348169
245,8023627.66,9000,1.3999999995981514,11233078.720775716,1248.1198578639685
408,13331543.84,16000,1.66,22130362.7744,1383.1476734
387,35469026.11,16800,1.66,58878583.342599995,3504.677579916666
341,3984773.62,300,1.66,6614724.209199999,22049.08069733333
408,7003401.4,16000,1.8025526853280178,12624000,789
336,13162341.02,6030,1.66,21849486.0932,3623.4636970480924
387,43309757.763,19600,1.659999999467043,71894197.86349775,3668.0713195662115
247,5375194.08,10000,1.0753100100154895,5780000,578
386,2952194.86,300,1.66,4900643.467599999,16335.47822533333
387,37325989.35,12000,1.603279673014213,59844000,4987
341,14766556.5,1825,1.779999998645588,26284470.55,14402.449616438356
386,29726120.16,4100,1.6699999997577888,49642620.660000004,12107.956258536586
333,5510923.97,15000,1.3554895768231765,7469999.999999999,497.99999999999994
333,4995739.01,6000,1.3999999971976118,6994034.6,1165.6724333333332
270,26271095.89,11750,1.6600000008602611,43610019.2,3711.490995744681
423,18064377.08,17550,1.928477790610868,34836750,1985
333,1727577.6,3000,1.6599999907384766,2867778.8,955.9262666666666
305,903300,1,1.15,1038794.9999999999,1038794.9999999999
423,20410212.7025,20500,1.6599999993242553,33880953.07235791,1652.7294181638003
343,27849564.44,30200,1.350000000215443,37596912,1244.9308609271523
247,5965867.8,15000,1.2294942237908792,7335000,489
303,3607558.77,600,1.6600000004989524,5988547.56,9980.9126
355,18740700.41,9000,1.999999998932804,37481400.8,4164.600088888888
245,6184555.56,5000,1.0978961922366497,6790000,1358
270,31249714,15200,1.66,51874525.239999995,3412.7977131578946
245,8458659.9,10500,1.7000000023644408,14379721.850000001,1369.4973190476192
247,1777302.6,3000,1.5782343423117706,2805000,935
270,38963624.11,16600,1.5499276922882725,60390799.99999999,3637.9999999999995
245,4108433.5,5136,1.6876505363905732,6933600,1350
245,8986771.35,10269,1.5883245989117105,14273910,1390
408,9540697.8,23600,1.4499999979878575,13834011.790802758,586.1869402882525
343,48154914.08,40000,1.5599654040541484,75120000,1878
423,32762057.02,30000,1.5000000009156935,49143085.56,1638.102852
343,21371135.56,19300,1.6600000009545586,35476085.05,1838.1391217616579
387,23396934.57,9600,1.6367272338788268,38294400,3989
234,15657936.61,20000,2.000000000638654,31315873.230000004,1565.7936615
343,13919971.49,22000,2.829028782730646,39380000,1790
341,4888128.6,400,1.6600000049098547,8114293.5,20285.73375
408,9629398.86,32184,1.83824559116871,17701200,550
341,1921344.3,150,1.4677223650128715,2820000,18800
341,10000857.92,800,1.66,16601424.1472,20751.780184
343,20494357.14,15300,1.4147064873487412,28993499.999999993,1894.9999999999995
376,12916732.68,12000,1.3916832100917955,17976000,1498
386,4566399.21,500,1.7800000013577437,8128190.6,16256.3812
408,6978298.66,15970,1.7599999997707179,12281805.64,769.0548303068254
270,30286100.49,14400,1.4751465945492543,44676438,3102.5304166666665
411,35577838.52,14100,1.8081531806319002,64330181.87994614,4562.424246804691
411,40082892.69,15700,1.8099999995284772,72550035.75,4621.021385350318
411,40321620.54,15700,1.8099999998585659,72982133.17169714,4648.543514120837
234,4671937.08,4100,1.5,7007905.62,1709.2452731707317
303,5471769.99,1408,1.647811863373846,9016447.503174992,6403.726919868603
