A-Equipo,PC-CostoTotal,PC-TotalDeterminaciones,PC-UtilidadPropuesta,PC-ValorFinal,PC-ValorDeterminacion,PC-Ganado
269,837959.63,1962,1.3992964104294021,1172553.90234375,597.6319583811162,1
303,570298.88,1800,1.5768369275783614,899268.3337405806,499.593518744767,1
270,590632.96,1150,1.099039852318456,649129.1611328124,564.460140115489,1
270,590632.96,1150,1.1539917489535296,681585.5625000001,592.6830978260871,1
303,817158.26,3300,1.3483538358618732,1101818.474377214,333.88438617491335,1
242,3868141.17,6140,1.2204056711249114,4720701.42057975,768.8438795732492,1
234,997895.67,7200,1.3487934195057083,1345955.1130492399,186.93821014572777,1
270,590632.96,1150,1.2116914054587822,715664.8814126806,622.3172881849397,1
270,590632.96,1150,1.272275908937883,751448.0860326722,653.4331182892802,1
269,880704.72,2521,1.6345144939725083,1439524.6297499996,571.0133398452994,1
303,501988.53,1500,1.6480417294952936,827298.0451680002,551.5320301120001,1
