"C-CodigoCliente";"C-TipoCliente";"C-Sucursal";"A-Equipo";"A-Sector";"PC-CostoAccesorios";"PC-CostoAlquiler";"PC-CostoCCC";"PC-CostoReactivos";"PC-CostoServicioTecnico";"PC-CostoTotal";"PC-TotalDeterminaciones";"PC-ImporteAccesorios";"PC-ImporteAlquiler";"PC-ImporteCCC";"PC-ImporteReactivos";"PC-ImporteServicioTecnico";"PC-UtilidadAccesorios";"PC-UtilidadAlquiler";"PC-UtilidadCCC";"PC-UtilidadReactivos";"PC-UtilidadServicioTecnico";"PC-UtilidadPropuesta";"PC-Ganado"
"1617";"Privado";"2";"275";"Endocrinología";"63270,899999999994";"238458,99";"64156,6926";"322600,2901000001";"83460,66";"829961,07";"3115";"63270,9";"238458,99";"73780,19";"370990,33";"83460,66";"1";"1";"1,15";"1,15";"1";"1,1945076649416393";"0"
"437";"Publico";"2";"336";"Endocrinología";"77331,1";"113124,38999999998";"80751,7458";"303533,5820000001";"39593,55";"671977,17";"3223";"77331,1";"113124,39";"92864,51";"349063,62";"39593,55";"1";"1";"1,15";"1,15";"1";"1,678755847787639";"1"
"384";"Publico";"2";"331";"POC/Gases";"0";"59614,73999999999";"138292,1342";"447415,64999999997";"20865,15";"754043,84";"1500";"0";"59614,74";"159035,95";"514528";"20865,15";"1";"1";"1,15";"1,15";"1";"1,3999999886117207";"0"
"452";"Privado";"2";"237";"Hemostasia";"59253,7";"118752,57";"160558,46949999998";"70473,4129";"41563,41";"485256,34";"5400";"59253,7";"118752,57";"184642,24";"81044,42";"41563,41";"1";"1";"1,15";"1,15";"1";"1,0990326428295607";"0"
"372";"Privado";"2";"242";"Hemostasia";"0";"1115477,4300000002";"838790,4767";"648318,7623";"390417,09";"3216070,14";"4700";"0";"1115477,43";"964609,05";"745566,57";"390417,09";"1";"1";"1,15";"1,15";"1";"0,9353414687310646";"1"
"445";"Privado";"2";"269";"Inmunología";"0";"183153,76";"115377,372";"386205,47679999995";"64103,82";"824077,86";"2250";"0";"183153,76";"132683,98";"444136,3";"64103,82";"1";"1";"1,15";"1,15";"1";"1,423244480527491";"1"
"437";"Publico";"2";"336";"Endocrinología";"98010";"113124,38999999998";"58629,581999999995";"190347,6773";"39593,55";"537051,79";"2183";"98010";"113124,39";"67424,02";"218899,83";"39593,55";"1";"1";"1,15";"1,15";"1";"1,7499999953449557";"1"
"498";"Privado";"2";"303";"Endocrinología";"21780";"121204,68";"58629,581999999995";"224491,90499999997";"42421,65";"510996,03";"2566";"21780";"121204,68";"67424,02";"258165,68";"42421,65";"1";"1";"1,15";"1,15";"1";"1,564402290962016";"1"
"445";"Privado";"2";"269";"Inmunología";"0";"91576,88";"35636,436";"171763,5051";"32051,91";"362138,74";"1200";"0";"91576,88";"40981,91";"197528,04";"32051,91";"1";"1";"1,15";"1,15";"1";"1,4187283970504507";"1"
"445";"Privado";"2";"269";"Inmunología";"0";"91576,88";"35636,436";"171763,5051";"32051,91";"362138,74";"1150";"0";"91576,88";"40981,91";"197528,04";"32051,91";"1";"1";"1,15";"1,15";"1";"1,4754774946399947";"1"
"445";"Privado";"2";"269";"Inmunología";"0";"91576,88";"35636,436";"171763,5051";"32051,91";"362138,74";"1150";"0";"91576,88";"40981,91";"197528,04";"32051,91";"1";"1";"1,15";"1,15";"1";"1,5344966092032535";"1"
"372";"Privado";"2";"242";"Hemostasia";"0";"1239419,37";"965950,9255";"746549,0307";"433796,82";"3394707,27";"4700";"0";"991535,5";"1110843,57";"858531,38";"433796,82";"1";"0,8";"1,15";"1,15";"1";"0,9990398870238966";"1"
"445";"Privado";"2";"269";"Inmunología";"0";"101752,08";"39591,1395";"190848,339";"35613,23";"402370,71";"1150";"0";"101752,08";"45529,81";"219475,59";"35613,23";"1";"1";"1,15";"1,15";"1";"1,3810656072580432";"1"
"445";"Privado";"2";"269";"Inmunología";"0";"101752,08";"39591,1395";"190848,339";"35613,23";"402370,71";"1150";"0";"101752,08";"45529,81";"219475,59";"35613,23";"1";"1";"1,15";"1,15";"1";"1,4363082543217733";"1"
"445";"Privado";"2";"269";"Inmunología";"0";"101752,08";"39591,1395";"190848,339";"35613,23";"402370,71";"1150";"0";"101752,08";"45529,81";"219475,59";"35613,23";"1";"1";"1,15";"1,15";"1";"1,493760533235943";"1"
